"ph","Hardness","Solids","Chloramines","Sulfate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
NULL,204.89046,20791.318,7.300212,368.51645,564.30865,10.379783,86.99097,2.9631355,0.0
3.7160802,129.42293,18630.059,6.635246,NULL,592.8854,15.180013,56.329075,4.500656,0.0
8.099124,224.23625,19909.541,9.275884,NULL,418.6062,16.868637,66.42009,3.0559337,0.0
8.316766,214.3734,22018.418,8.059333,356.88614,363.2665,18.436525,100.341675,4.6287704,0.0
9.092223,181.10152,17978.986,6.5466,310.13574,398.41083,11.558279,31.997993,4.0750756,0.0
5.5840864,188.31332,28748.688,7.544869,326.67838,280.46793,8.3997345,54.917862,2.559708,0.0
10.223862,248.07173,28749.717,7.5134087,393.6634,283.65164,13.789696,84.60355,2.6729887,0.0
8.635849,203.36153,13672.092,4.563009,303.30978,474.60764,12.363816,62.79831,4.401425,0.0
NULL,118.98858,14285.584,7.8041735,268.64694,389.37558,12.706049,53.928844,3.5950172,0.0
11.1802845,227.23148,25484.508,9.0772,404.04163,563.8855,17.927807,71.9766,4.370562,0.0
7.36064,165.5208,32452.615,7.550701,326.62436,425.38342,15.58681,78.74001,3.6622918,0.0
7.9745216,218.6933,18767.656,8.110385,NULL,364.09824,14.525745,76.48591,4.0117183,0.0
7.1198244,156.70499,18730.814,3.6060362,282.34406,347.71503,15.929536,79.50078,3.4457562,0.0
NULL,150.17493,27331.361,6.8382235,299.41577,379.76184,19.370808,76.509995,4.4139743,0.0
7.496232,205.34499,28388.006,5.072558,NULL,444.64536,13.228312,70.30021,4.7773824,0.0
6.347272,186.73288,41065.234,9.629597,364.4877,516.7433,11.539782,75.07162,4.3763485,0.0
7.051786,211.04941,30980.602,10.094796,NULL,315.14127,20.397022,56.651604,4.268429,0.0
9.18156,273.8138,24041.326,6.9049897,398.35052,477.97464,13.387341,71.45736,4.5036607,0.0
8.975465,279.35718,19460.398,6.204321,NULL,431.444,12.888759,63.821236,2.4360857,0.0
7.3710504,214.49661,25630.32,4.432669,335.75443,469.91455,12.509164,62.797276,2.5602992,0.0
NULL,227.43504,22305.568,10.333918,NULL,554.82007,16.331694,45.382816,4.133423,0.0
6.660212,168.28375,30944.363,5.858769,310.93085,523.6713,17.884235,77.04232,3.7497013,0.0
NULL,215.97786,17107.225,5.6070604,326.94397,436.2562,14.189062,59.855476,5.459251,0.0
3.9024756,196.90324,21167.5,6.9963117,NULL,444.47888,16.609034,90.18168,4.5285225,0.0
5.400302,140.73906,17266.594,10.056852,328.35825,472.87408,11.256381,56.931908,4.824786,0.0
